# {"t_start": 1659482831.773812, "env_id": "Bpp-v0"} 
r,l,t
2.29,17,5.215488
3.13,23,5.801643
4.1,26,7.540164
4.06,28,8.272374
2.51,19,10.069744
1.74,13,10.497131
4.18,27,11.227092
4.72,34,13.504129
2.73,21,15.056856
3.34,23,15.779607
2.65,19,16.251298
3.7,24,18.019424
2.48,17,18.575902
3.94,26,20.439982
2.83,18,20.889837
2.59,18,21.464516
3.68,25,23.329945
3.17,21,23.912801
3.17,22,25.923201
4.47,33,26.816878
3.33,23,28.612698
3.51,21,29.1999
2.38,19,30.753594
3.05,22,31.34101
4.46,26,33.371474
2.4,16,33.92415
2.76,20,34.507734
3.91,26,36.308759
4.18,24,37.026593
5.11,31,38.950767
5.28,33,40.913572
4.24,31,41.908039
4.48,29,43.730921
1.64,12,44.144798
3.28,23,45.772324
3.82,27,46.624479
4.91,36,48.803644
1.55,11,49.098667
4.4,31,50.987677
2.6,17,51.546207
3.56,26,53.295451
4.19,31,54.182205
3.4,22,55.983173
4.11,27,56.723219
2.15,17,57.175892
2.81,20,58.982877
2.55,18,59.552109
0.27,2,59.564274
4.11,28,61.621003
3.99,25,62.335399
3.25,23,64.166165
3.75,26,64.8948
3.61,28,66.759142
2.69,19,67.332805
2.5,17,68.987773
3.52,21,69.579594
4.8,32,71.853505
4.16,27,72.701196
3.16,20,74.392349
2.71,21,74.98572
3.1,18,75.444706
1.94,12,76.871251
3.9,26,77.592091
2.87,21,79.245214
2.69,20,79.821935
3.25,22,80.52826
3.34,20,82.318925
2.85,18,82.7738
5.1,32,85.028452
3.81,23,85.636917
3.37,25,87.60169
3.69,24,88.313336
3.79,29,90.366077
2.84,17,90.812496
2.48,17,92.473109
4.2,27,93.211408
3.75,25,95.197203
2.74,18,95.763744
4.37,31,97.744164
3.86,30,98.611069
3.58,24,100.704292
2.06,15,101.13684
3.88,28,101.87936
4.3,29,103.740065
3.65,24,105.724609
2.71,18,106.174924
2.69,19,106.744134
3.43,20,108.325153
1.56,13,108.746915
2.91,20,109.330463
1.62,10,110.69244
3.12,22,111.285882
3.1,20,111.866145
3.3,22,113.8202
2.69,18,114.274841
2.54,18,116.149991
3.41,22,116.737673
2.72,17,117.293077
2.59,19,119.032539
3.39,21,119.738397
2.83,18,120.19434
2.03,15,121.821357
5.7,39,124.212757
3.17,21,124.796959
3.33,24,125.517685
2.91,19,127.183003
3.8,26,127.912476
2.63,19,129.538674
3.47,23,130.140531
3.39,23,132.178912
3.62,25,132.910923
5.16,37,135.17945
2.97,22,135.891391
3.74,28,137.945997
2.53,17,138.504186
1.56,13,138.814805
2.51,17,140.366645
4.33,28,141.168962
3.94,26,143.079248
3.66,25,143.846148
4.07,28,145.604409
4.17,26,146.366894
2.63,17,147.950531
4.12,27,148.720486
3.35,20,150.298539
3.76,27,151.192102
3.61,22,152.803874
4.43,31,153.718185
4.02,27,155.592418
2.91,18,156.058784
2.89,20,157.646528
4.27,30,158.541607
3.22,21,160.129463
3.9,27,161.037001
3.84,24,162.791968
5.22,36,163.856472
2.84,19,165.450456
4.07,29,166.242627
3.31,21,167.944283
2.32,19,168.423401
3.15,21,170.189726
3.03,20,170.789393
3.66,26,172.508005
6.21,38,173.578627
3.25,25,175.328894
4.32,29,176.232312
3.36,22,177.957956
3.1,20,178.561046
5.68,39,180.624056
3.38,21,181.353741
3.79,26,183.103466
3.58,24,183.856235
3.84,28,185.630049
3.58,24,186.381174
3.73,24,188.077726
5.08,32,189.998501
3.46,25,190.746104
1.2,11,191.051263
6.15,39,193.206955
3.58,25,194.928108
4.53,31,195.832472
3.51,21,197.53566
3.12,22,198.152708
4.05,29,200.007054
3.16,20,200.602498
3.81,26,202.31766
3.41,23,203.051417
3.69,30,204.919286
4.8,34,205.84492
4.77,32,207.877283
3.11,21,208.494846
3.95,28,210.337675
4.79,31,212.192164
2.58,21,212.808264
4.04,24,213.567953
4.11,32,215.464766
4.73,31,217.388475
3.66,23,218.139892
5.44,35,220.211983
2.46,18,220.80107
5.13,33,222.677975
3.34,22,223.41199
2.09,15,224.800279
5.16,33,225.728459
4.76,37,227.94919
3.99,29,229.718964
3.95,26,230.598421
4.08,26,232.33353
3.8,26,233.098768
3.0,23,234.821082
2.43,18,235.293425
3.44,26,236.057916
3.46,24,237.770121
5.21,36,239.839952
4.37,27,240.738879
4.73,32,242.698983
3.19,23,243.416047
4.18,24,245.425641
4.46,27,246.15437
2.86,20,247.965234
1.73,13,248.392543
4.56,30,250.252703
4.22,25,250.984756
1.85,13,251.293717
1.62,11,252.81505
4.46,30,253.674309
4.81,35,255.669771
4.2,31,257.683543
3.6,27,258.427326
3.02,19,259.003427
3.73,25,260.689962
4.53,30,262.623772
3.31,25,263.342683
4.13,28,265.180296
4.74,32,266.168311
4.37,31,268.169854
5.15,34,270.31662
3.12,21,270.89999
4.36,30,272.806251
3.99,27,273.548966
5.5,36,275.647213
3.18,21,276.232456
3.41,26,278.266104
3.57,25,278.993635
4.12,30,280.995082
4.98,32,281.88046
3.16,20,283.461886
2.85,21,284.156969
2.18,17,285.587491
5.02,32,286.465141
0.71,6,286.732571
4.31,34,288.662173
3.1,24,290.810463
4.67,33,291.83746
5.43,41,293.987252
4.57,30,295.902731
3.64,25,296.631748
3.47,24,298.540423
4.33,29,299.413634
4.85,35,301.454328
5.9,37,303.433835
4.86,29,304.29482
4.73,32,306.313464
4.48,30,307.186798
4.81,35,309.144379
5.75,39,311.393379
6.77,39,313.475352
4.12,28,314.215283
4.51,32,316.217643
3.92,28,316.963923
5.49,33,318.927419
3.24,21,320.516119
5.51,38,321.667546
4.16,27,323.330345
4.9,32,325.253965
4.7,29,325.999818
2.91,17,326.557619
2.53,16,328.005457
4.23,27,328.737439
2.98,24,330.476459
4.65,33,331.485825
5.16,34,333.587612
4.86,34,335.51987
5.21,35,336.545201
4.29,31,338.484184
5.17,34,340.370464
4.71,31,341.349647
2.16,15,342.784413
2.81,21,343.370423
2.74,19,345.261733
4.98,33,346.159103
4.39,32,348.147036
3.62,25,348.860196
3.69,27,350.671993
4.69,31,351.545809
4.17,28,353.597565
3.68,23,354.18911
4.46,31,356.170422
4.59,31,358.243307
3.69,23,358.83797
4.69,30,360.641838
3.34,22,361.348871
4.27,29,363.270308
3.02,22,363.871376
5.6,37,366.096124
5.33,35,368.156182
5.69,37,369.301631
4.78,32,371.323357
2.82,20,371.901377
4.48,29,373.911099
3.46,24,375.647676
4.06,26,376.3774
5.64,36,378.334911
3.35,22,379.040708
2.6,18,380.960638
5.48,37,382.103984
4.1,29,383.749456
3.71,22,384.451428
4.72,34,386.473672
5.38,34,388.350004
3.9,27,389.20565
4.6,30,391.137008
3.52,25,391.876796
3.16,22,393.452725
4.57,33,394.458664
5.66,37,396.492332
4.6,34,398.50098
3.65,26,399.2398
4.06,26,401.067615
5.98,41,403.391212
3.22,22,403.97849
3.8,23,405.583181
6.14,40,406.742864
3.3,25,408.401275
4.66,29,409.159517
4.91,33,411.194729
4.0,24,412.996044
4.6,29,413.862708
5.83,37,415.824707
5.17,35,418.106473
5.23,34,419.112356
5.97,36,421.108805
4.97,31,423.162923
4.94,32,424.176966
4.43,28,426.107029
4.93,34,428.0529
3.39,23,428.770702
5.79,38,430.788813
4.78,33,431.7909
4.82,32,433.766193
6.53,44,435.985281
3.21,24,436.706579
4.32,30,438.662835
4.24,30,440.516825
5.41,36,441.551568
4.56,31,443.501927
4.38,28,445.483993
3.9,28,446.225588
5.23,36,448.323697
4.88,34,449.224228
4.84,33,451.202761
5.09,31,453.407875
4.3,33,454.412019
4.96,32,456.362339
5.72,41,458.46195
6.72,46,460.870499
3.27,20,461.459776
4.78,33,463.344476
5.06,31,464.223603
5.53,33,466.217784
3.5,25,467.855955
5.27,39,469.023124
5.58,38,471.20088
4.86,34,473.180017
5.09,36,475.29644
2.92,22,476.011032
4.5,27,477.866437
4.69,32,478.861805
5.18,30,480.707757
7.44,49,482.970358
3.77,28,483.829225
4.98,34,485.829954
5.63,36,487.838072
6.17,41,490.096747
6.04,39,491.252856
6.61,41,493.310548
4.67,31,495.289766
6.11,39,497.588605
4.59,29,498.448369
5.38,36,500.413547
6.18,43,502.76876
4.04,30,503.634109
5.68,41,505.899004
5.78,37,508.344321
5.54,38,510.617201
5.27,35,511.633491
4.59,34,513.657992
5.8,37,515.772208
4.8,36,516.800162
4.44,27,518.723988
4.57,30,520.677506
3.93,28,521.415593
5.05,32,523.458929
5.47,36,525.591292
6.85,44,526.880574
4.56,32,528.78505
5.52,33,530.807046
2.54,16,531.248443
5.33,36,533.201378
4.93,33,534.208436
5.89,38,536.394091
4.72,32,538.401738
5.78,37,540.782686
4.87,31,541.667292
5.16,36,544.036011
5.16,35,546.097516
5.74,35,547.11853
6.0,38,549.053059
5.72,38,551.128874
6.42,46,553.370855
5.91,40,555.641868
4.51,27,556.37501
5.69,40,558.674718
5.53,36,560.717157
6.11,38,561.750497
4.6,30,563.670018
5.75,37,565.767806
6.43,45,568.213966
4.55,31,569.085103
1.02,7,569.245531
4.95,34,571.306381
6.68,44,573.746708
5.52,37,575.682402
4.41,30,576.541716
6.4,42,578.756572
4.93,35,580.972232
5.42,38,582.952135
3.87,24,583.71147
4.94,33,585.705804
6.61,47,587.946503
6.48,44,590.270497
6.07,40,591.42904
4.7,29,593.209562
4.82,32,595.160049
5.66,35,596.177405
5.05,33,598.249217
6.18,37,600.43216
6.58,44,602.937074
5.87,38,603.979893
5.71,39,606.2155
6.7,45,608.537351
5.43,38,610.955741
6.31,43,613.18429
6.19,41,614.465179
3.95,29,616.226168
6.12,40,618.518075
4.81,33,619.527792
6.72,48,622.08684
6.05,40,624.23035
6.36,44,626.324667
5.45,35,628.352593
6.03,37,630.580784
4.61,30,631.448336
4.6,34,633.417513
6.49,45,635.748708
6.46,45,638.083842
3.53,26,638.826876
6.41,42,640.97509
5.05,30,642.913611
6.34,41,644.084513
5.75,37,646.212219
5.72,34,648.103035
6.85,48,650.61499
6.2,38,652.799263
4.2,28,653.539699
5.5,39,655.77184
5.9,39,657.944256
5.43,36,658.951733
5.1,34,661.02042
6.58,40,663.070805
6.01,39,665.201569
6.54,44,667.489635
6.48,42,668.659919
7.17,47,671.25399
5.44,37,673.316517
5.27,36,675.485171
3.64,27,676.218483
4.02,28,678.099572
6.48,46,680.424151
6.54,40,682.562838
6.25,42,683.847593
6.72,44,685.94535
5.8,40,687.986386
4.52,33,689.976175
5.93,40,692.152974
6.57,42,693.317026
6.36,41,695.652288
6.37,42,697.90915
4.36,29,699.815088
6.07,39,700.978799
6.8,44,703.391061
5.53,36,705.734135
5.05,33,707.709347
5.82,41,708.875886
6.33,46,711.457154
7.21,43,713.666075
5.98,43,715.924742
4.8,33,717.833316
6.27,45,720.233462
6.91,45,722.897511
6.43,40,724.042923
5.89,41,726.321299
6.45,41,728.4886
6.95,40,730.635909
6.42,42,732.773689
5.98,39,733.921671
5.27,35,735.858808
3.87,29,737.794256
5.96,42,739.970749
4.7,33,740.983683
6.14,42,743.228831
5.91,35,745.238069
6.17,41,747.442178
3.92,27,748.284845
6.65,45,750.5682
4.36,31,752.616847
6.26,36,753.627623
5.46,38,755.907164
7.49,52,758.39075
6.21,42,760.83293
5.56,40,763.061416
3.78,25,763.781441
6.19,40,765.94839
5.83,42,768.208957
5.45,36,770.332977
5.42,33,771.343728
6.9,50,773.758097
6.39,41,775.963669
6.52,41,778.089772
6.0,40,780.457519
5.41,40,782.635605
6.6,45,783.950189
5.44,33,786.069409
5.42,38,788.0793
4.42,33,790.060843
5.55,40,791.230184
6.44,39,793.444028
5.68,37,795.578728
4.83,32,797.515073
7.38,51,799.931366
6.11,35,800.955912
